OrderDate,Product_Code,Order_Quantity,Warehouse
2024-01-01,PRODUCT_001,100,Warehouse_A
2024-01-02,PRODUCT_001,105,Warehouse_A
2024-01-03,PRODUCT_001,98,Warehouse_A
2024-01-04,PRODUCT_001,112,Warehouse_A
2024-01-05,PRODUCT_001,108,Warehouse_A
2024-01-06,PRODUCT_001,115,Warehouse_A
2024-01-07,PRODUCT_001,120,Warehouse_A
2024-01-08,PRODUCT_001,118,Warehouse_A
2024-01-09,PRODUCT_001,125,Warehouse_A
2024-01-10,PRODUCT_001,122,Warehouse_A
2024-01-11,PRODUCT_001,130,Warehouse_A
2024-01-12,PRODUCT_001,128,Warehouse_A
2024-01-13,PRODUCT_001,135,Warehouse_A
2024-01-14,PRODUCT_001,132,Warehouse_A
2024-01-15,PRODUCT_001,140,Warehouse_A
2024-01-16,PRODUCT_001,138,Warehouse_A
2024-01-17,PRODUCT_001,145,Warehouse_A
2024-01-18,PRODUCT_001,142,Warehouse_A
2024-01-19,PRODUCT_001,150,Warehouse_A
2024-01-20,PRODUCT_001,148,Warehouse_A
2024-01-01,PRODUCT_002,200,Warehouse_B
2024-01-02,PRODUCT_002,195,Warehouse_B
2024-01-03,PRODUCT_002,210,Warehouse_B
2024-01-04,PRODUCT_002,205,Warehouse_B
2024-01-05,PRODUCT_002,215,Warehouse_B
2024-01-06,PRODUCT_002,220,Warehouse_B
2024-01-07,PRODUCT_002,225,Warehouse_B
2024-01-08,PRODUCT_002,230,Warehouse_B
2024-01-09,PRODUCT_002,235,Warehouse_B
2024-01-10,PRODUCT_002,240,Warehouse_B
2024-01-11,PRODUCT_002,245,Warehouse_B
2024-01-12,PRODUCT_002,250,Warehouse_B
2024-01-13,PRODUCT_002,255,Warehouse_B
2024-01-14,PRODUCT_002,260,Warehouse_B
2024-01-15,PRODUCT_002,265,Warehouse_B
2024-01-16,PRODUCT_002,270,Warehouse_B
2024-01-17,PRODUCT_002,275,Warehouse_B
2024-01-18,PRODUCT_002,280,Warehouse_B
2024-01-19,PRODUCT_002,285,Warehouse_B
2024-01-20,PRODUCT_002,290,Warehouse_B
2024-01-01,PRODUCT_003,50,Warehouse_A
2024-01-02,PRODUCT_003,55,Warehouse_A
2024-01-03,PRODUCT_003,48,Warehouse_A
2024-01-04,PRODUCT_003,62,Warehouse_A
2024-01-05,PRODUCT_003,58,Warehouse_A
2024-01-06,PRODUCT_003,65,Warehouse_A
2024-01-07,PRODUCT_003,70,Warehouse_A
2024-01-08,PRODUCT_003,68,Warehouse_A
2024-01-09,PRODUCT_003,75,Warehouse_A
2024-01-10,PRODUCT_003,72,Warehouse_A
2024-01-11,PRODUCT_003,80,Warehouse_A
2024-01-12,PRODUCT_003,78,Warehouse_A
2024-01-13,PRODUCT_003,85,Warehouse_A
2024-01-14,PRODUCT_003,82,Warehouse_A
2024-01-15,PRODUCT_003,90,Warehouse_A
2024-01-16,PRODUCT_003,88,Warehouse_A
2024-01-17,PRODUCT_003,95,Warehouse_A
2024-01-18,PRODUCT_003,92,Warehouse_A
2024-01-19,PRODUCT_003,100,Warehouse_A
2024-01-20,PRODUCT_003,98,Warehouse_A
